t,q_0,q_1,q_2,q_3,q_4,q_5,q_6,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,ddq_0,ddq_1,ddq_2,ddq_3,ddq_4,ddq_5,ddq_6
2.000000000000000111e-01,2.158540597958912444e-03,2.957578643765002881e-03,-7.397791198102917666e-04,-1.524999599422996788e+00,3.639425258839594241e-03,1.874290225588550296e+00,-5.393466330144410480e-03,3.421429961524900809e-02,4.384976111954783096e-02,-1.305190324688335068e-02,3.269902677089471521e-02,5.437696060870763487e-02,1.005663768550412451e-01,-7.917510442541614291e-02,3.745732355462603191e-01,4.253931615547069112e-01,-1.683756539672778274e-01,3.340471592379662402e-01,5.365194737710794470e-01,9.736736368301501798e-01,-7.538978059868945980e-01
2.099999999999999922e-01,2.519787109493640612e-03,3.417654342026080205e-03,-8.789476326237153888e-04,-1.524655618537275048e+00,4.210436117276736626e-03,1.875345275090902097e+00,-6.223429359368782068e-03,3.807253579309604480e-02,4.819605069668857211e-02,-1.480505064510655513e-02,3.612596052233255778e-02,5.986659829119606036e-02,1.105133360426688999e-01,-8.686887708054871760e-02,3.970924287641891537e-01,4.437961408524939144e-01,-1.823261613494845390e-01,3.513330135616691829e-01,5.613514457266576274e-01,1.015560424692594443e+00,-7.847228938183513636e-01
2.200000000000000011e-01,2.920743617928420622e-03,3.922106144264494304e-03,-1.036352305041518670e-03,-1.524276504737814619e+00,4.837579200763685895e-03,1.876501872580775387e+00,-7.131857909974101406e-03,4.215644977542503530e-02,5.272427990969904416e-02,-1.669984382365341524e-02,3.972553199533645357e-02,6.560282172483516971e-02,1.208743634199498651e-01,-9.486685513990093799e-02,4.197020827105388818e-01,4.617779218480511094e-01,-1.967018508664095111e-01,3.685723540374059026e-01,5.858330846020745053e-01,1.056480663963506261e+00,-8.147358561835249535e-01
2.300000000000000100e-01,3.363670751186207016e-03,4.472732071472871121e-03,-1.213430555226140822e-03,-1.523860534208010264e+00,5.523302497041925746e-03,1.877764109755359678e+00,-8.121753129564158666e-03,4.646674404640262213e-02,5.743014226479395412e-02,-1.874044469740804297e-02,4.349720558010999882e-02,7.158202172733033053e-02,1.316395967000126010e-01,-1.031608275899586202e-01,4.423617033714912772e-01,4.793196524388889102e-01,-2.114846286465679182e-01,3.857510881191817953e-01,6.099432537065960780e-01,1.096395147967863082e+00,-8.439188577415329684e-01
2.399999999999999911e-01,3.850834130608282030e-03,5.071286142166206261e-03,-1.411660504609291763e-03,-1.523405989191770615e+00,6.270016848626045088e-03,1.879135977744145203e+00,-9.196033175529909343e-03,5.100371415491494753e-02,6.230914427280477563e-02,-2.093083089410054803e-02,4.744030480827842594e-02,7.780037878565435050e-02,1.427987861952749460e-01,-1.117424085750181872e-01,4.650304063817038980e-01,4.964027880585167307e-01,-2.266557340497488138e-01,4.028551381716606317e-01,6.336610263750097616e-01,1.135265609264018094e+00,-8.722547672093496907e-01
2.500000000000000000e-01,4.384500282953862974e-03,5.719476518044998639e-03,-1.632559101977736592e-03,-1.522911159401207692e+00,7.080093860276419522e-03,1.880621363282476421e+00,-1.035753150200858369e-02,5.576724507234521316e-02,6.735660859646108722e-02,-2.327478917550820925e-02,5.155401254793449961e-02,8.425386523985188558e-02,1.543413043890379255e-01,-1.206030444911953409e-01,4.876669693794346561e-01,5.130091060296385619e-01,-2.421957575756398806e-01,4.198704506487977994e-01,6.569657026602754302e-01,1.173054755344410172e+00,-8.997271679488997309e-01
2.600000000000000089e-01,4.966932518605039412e-03,6.418963681845263163e-03,-1.877680182678521459e-03,-1.522374343421913245e+00,7.955863829142624868e-03,1.882224044982590216e+00,-1.160899521830347468e-02,6.075680807669926742e-02,7.256767734025303118e-02,-2.577590904163861579e-02,5.583737129018789130e-02,9.093824763322763682e-02,1.662561558594884137e-01,-1.297340211833229451e-01,5.102298849109203616e-01,5.291207197252425498e-01,-2.580846595484139749e-01,4.367830052152497089e-01,6.798368259150004977e-01,1.209726303410477710e+00,-9.263203679562630466e-01
2.700000000000000178e-01,5.600386781266415009e-03,7.171358648792320288e-03,-2.148612464814052964e-03,-1.521793850114918634e+00,8.899613699236008299e-03,1.883947689705619322e+00,-1.295308351976180890e-02,6.597145816827103271e-02,7.793731548090179762e-02,-2.843757652556407750e-02,6.028928352662206447e-02,9.784908922773701001e-02,1.785319875466804540e-01,-1.391264712387230984e-01,5.326774138239824818e-01,5.447200925276921568e-01,-2.743017895595993849e-01,4.535788238054906940e-01,7.022541992483597451e-01,1.245245014188790300e+00,-9.520194092466036651e-01
2.800000000000000266e-01,6.287107474497916765e-03,7.978221213053710709e-03,-2.446977484368514835e-03,-1.521168000014424981e+00,9.913585041876275816e-03,1.885795849037936955e+00,-1.439236619204941475e-02,7.140983202143652564e-02,8.346031443636990621e-02,-3.126296818640045272e-02,6.490851221700980056e-02,1.049817526832659276e-01,1.911570993527528795e-01,-1.487713813717810585e-01,5.549676390902160694e-01,5.597900515760239060e-01,-2.908259066507369872e-01,4.702439796156837604e-01,7.241979018451164540e-01,1.279576724756345651e+00,-9.768100766289450343e-01
2.899999999999999800e-01,7.029323270464238327e-03,8.841058230565532541e-03,-2.774427471287133767e-03,-1.520495126720410095e+00,1.099997206374507021e-02,1.887771955875130914e+00,-1.592932218969910635e-02,7.707014647656015849e-02,8.913129577124623282e-02,-3.425504530773029743e-02,6.969368134659056913e-02,1.123314028993592367e-01,2.041194550653146478e-01,-1.586595998931973339e-01,5.770585199945565957e-01,5.743138012917667901e-01,-3.076352002165050892e-01,4.867646060234465666e-01,7.456483051334642509e-01,1.312688380343910888e+00,-1.000678905865440615e+00
