t,q_0,q_1,q_2,q_3,q_4,q_5,q_6,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,ddq_0,ddq_1,ddq_2,ddq_3,ddq_4,ddq_5,ddq_6
2.000000000000000111e-01,-6.119952847107064517e-04,-1.443507500220235582e-03,1.150225333643388253e-03,-1.530492058114546694e+00,-4.755481337715695457e-03,1.865988483086710170e+00,1.099594873273828863e-03,-7.753502268608311598e-03,-1.981342870206222184e-02,1.641473200198646093e-02,-4.954943089129530687e-02,-7.075100625630831308e-02,-2.306368931767735150e-02,1.746068888899579563e-02,-4.662346645877141899e-02,-1.600969178263252357e-01,1.438132733756302406e-01,-4.809923921235463862e-01,-6.939894050374554313e-01,-2.362196994984840370e-01,1.929275338167373843e-01
2.099999999999999922e-01,-6.918114787332190494e-04,-1.649678100374564905e-03,1.321615752302558299e-03,-1.531011953216623978e+00,-5.498226166921501082e-03,1.865745834188248242e+00,1.284051028969215510e-03,-8.204481076080188603e-03,-2.142357611250738855e-02,1.786836261969482892e-02,-5.446452886988882580e-02,-7.785134497215676075e-02,-2.548615344384956918e-02,1.945090893084659364e-02,-4.347004743797274612e-02,-1.618277911721004436e-01,1.468194715157421226e-01,-5.019557043434638155e-01,-7.260204203081956909e-01,-2.482572565208670257e-01,2.051473809910293600e-01
2.200000000000000011e-01,-7.759695304631413458e-04,-1.872026242815693058e-03,1.507683366157449743e-03,-1.531582040240894615e+00,-6.313570088150733360e-03,1.865478360428617588e+00,1.489023427592557408e-03,-8.620844459320152128e-03,-2.304788984544632949e-02,1.934922069629362723e-02,-5.958708570865273169e-02,-8.527023466786913530e-02,-2.802848865959786662e-02,2.156423843189668454e-02,-3.969903491820381269e-02,-1.629302917782777804e-01,1.492554766636078889e-01,-5.224812517786572297e-01,-7.576974421866041753e-01,-2.601910799174300681e-01,2.175477999960143405e-01
2.300000000000000100e-01,-8.640922755699856741e-04,-2.110662186984949354e-03,1.708671614806205009e-03,-1.532204371598509862e+00,-7.204680696279681246e-03,1.865184868566968301e+00,1.715752029133102256e-03,-8.996377785830381515e-03,-2.468009102025471233e-02,2.085150705189058387e-02,-6.491263719980204516e-02,-9.300407089694258389e-02,-3.068957265881678068e-02,2.380243408964743262e-02,-3.530286022397342849e-02,-1.634055452612430681e-01,1.511019802400752621e-01,-5.425518041136500047e-01,-7.890075935492772974e-01,-2.720041918139380344e-01,2.301189618179721175e-01
2.399999999999999911e-01,-9.557400421075028761e-04,-2.365633475416429113e-03,1.924764994877173081e-03,-1.532880954205259938e+00,-8.174688900425103669e-03,1.864864177432721926e+00,1.965493866649483962e-03,-9.324795885224255315e-03,-2.631391669699401081e-02,2.236923370981155554e-02,-7.043654930873977094e-02,-1.010491212123666716e-01,-3.346811386900671453e-02,2.616715357823992325e-02,-3.027498681844409401e-02,-1.632556137701217658e-01,1.523405360904097339e-01,-5.621506289015761881e-01,-8.199381523116675563e-01,-2.836797197503911350e-01,2.428508920368986357e-01
2.500000000000000000e-01,-1.050409996972958161e-03,-2.636925139928378813e-03,2.156087215640220631e-03,-1.533613747808456607e+00,-9.226687651780144522e-03,1.864515119612670579e+00,2.239522048890780180e-03,-9.599753439422254592e-03,-2.794312922870694979e-02,2.389623265780172617e-02,-7.615402322983698402e-02,-1.094015267437411093e-01,-3.636265259351648821e-02,2.865995413167987324e-02,-2.460992384932383925e-02,-1.624834931923013481e-01,1.529535877029138125e-01,-5.812615068917694749e-01,-8.504765567658735259e-01,-2.952009142768229899e-01,2.557334782977418453e-01
2.600000000000000089e-01,-1.147535596923854621e-03,-2.924460001179366320e-03,2.402699443573610462e-03,-1.534404663365132482e+00,-1.036373068748749383e-02,1.864136543125777701e+00,2.539124749123898572e-03,-9.814855501805341137e-03,-2.956152558013318971e-02,2.542616487617689255e-02,-8.206010059273079194e-02,-1.180573038275171543e-01,-3.937156232899070157e-02,3.128229120217912440e-02,-1.830323839225155014e-02,-1.610931092326539360e-01,1.529244943749936414e-01,-5.998687468034575865e-01,-8.806104108666858998e-01,-3.065511663957670718e-01,2.687564778617064221e-01
2.700000000000000178e-01,-1.246486145376579473e-03,-3.228099061196575484e-03,2.664598638502825492e-03,-1.535255561473030772e+00,-1.158883129107913385e-02,1.863727313083931802e+00,2.865604180922991760e-03,-9.963668132222892534e-03,-3.116294660160262228e-02,2.695252962224273241e-02,-8.814966881352943873e-02,-1.270123456898290815e-01,-4.249305125640627512e-02,3.403551719438747264e-02,-1.135156637534943946e-02,-1.590893123707060597e-01,1.522375562960111284e-01,-6.179571995311000654e-01,-9.103274894629548308e-01,-3.177140248349183405e-01,2.819095252319965272e-01
2.800000000000000266e-01,-1.346566456079056895e-03,-3.547641988372722890e-03,2.941715983819207653e-03,-1.536168250855807660e+00,-1.290496107000324924e-02,1.863286313336933731e+00,3.220275561683515111e-03,-1.003972913459006203e-02,-3.274128624691359513e-02,2.846867396000610229e-02,-9.441746658517101431e-02,-1.362624241813510384e-01,-4.572516390391877239e-02,3.692088027622954238e-02,-3.752622170086053477e-03,-1.564778717012407505e-01,1.508780385174344763e-01,-6.355122717674998034e-01,-9.396157434713312551e-01,-3.286732131337139484e-01,2.951821398483252534e-01
2.899999999999999800e-01,-1.447016624616739161e-03,-3.882827694314590784e-03,3.233915413175466897e-03,-1.537144486903810892e+00,-1.431504875075931618e-02,1.862812448099999685e+00,3.604466064632051193e-03,-1.003655888366611348e-02,-3.429050072406007732e-02,2.996780252390252725e-02,-1.008580895010467854e-01,-1.458031915635947806e-01,-4.906578297957703977e-02,3.993952326700865585e-02,4.494793164919866357e-03,-1.532654676650532233e-01,1.488321937820059893e-01,-6.525199390314204706e-01,-9.684633049894322276e-01,-3.394126465277860771e-01,3.085637338444866540e-01
